email_id,sender_email,subject,has_link,has_attachment,urgency_score,spelling_errors,email_length_words,is_phishing,sender_email_clean,subject_clean,sender_domain,subject_word_count
83,bushvanessa@gmail.com,Bank Account Locked,0,1,10,10,75,1,bushvanessa gmail com,bank account locked,gmail.com,3
84,joel78@paypal-alert.com,Invoice Attached,1,1,2,2,84,0,joel78 paypal alert com,invoice attached,paypal-alert.com,2
85,hollyarias@company-secure.com,Urgent Account Verification,1,0,8,6,102,1,hollyarias company secure com,urgent account verification,company-secure.com,3
86,carlycurtis@outlook.com,Invoice Attached,1,1,5,2,108,0,carlycurtis outlook com,invoice attached,outlook.com,2
87,sarahgomez@gmail.com,Invoice Attached,1,0,1,0,158,0,sarahgomez gmail com,invoice attached,gmail.com,2
88,xjenkins@company-secure.com,Invoice Attached,0,0,4,2,172,0,xjenkins company secure com,invoice attached,company-secure.com,2
89,timothy42@bankverify.net,Bank Account Locked,1,1,10,8,61,1,timothy42 bankverify net,bank account locked,bankverify.net,3
90,ucarroll@paypal-alert.com,Interview Schedule,1,1,2,0,106,0,ucarroll paypal alert com,interview schedule,paypal-alert.com,2
91,anna71@paypal-alert.com,Suspicious Login Attempt,1,0,9,6,82,1,anna71 paypal alert com,suspicious login attempt,paypal-alert.com,3
92,steven77@bankverify.net,Interview Schedule,1,1,2,0,219,0,steven77 bankverify net,interview schedule,bankverify.net,2
93,mwilkinson@paypal-alert.com,Meeting Reminder,1,1,2,2,81,0,mwilkinson paypal alert com,meeting reminder,paypal-alert.com,2
94,tinarodriguez@outlook.com,Urgent Account Verification,0,0,10,4,99,1,tinarodriguez outlook com,urgent account verification,outlook.com,3
95,vblankenship@paypal-alert.com,Claim Your Reward Now,0,0,8,7,106,1,vblankenship paypal alert com,claim your reward now,paypal-alert.com,4
96,fishertodd@paypal-alert.com,Meeting Reminder,0,1,4,0,189,0,fishertodd paypal alert com,meeting reminder,paypal-alert.com,2
97,myersryan@bankverify.net,Meeting Reminder,1,0,1,0,265,0,myersryan bankverify net,meeting reminder,bankverify.net,2
98,gonzaleznicholas@outlook.com,Urgent Account Verification,1,0,7,5,51,1,gonzaleznicholas outlook com,urgent account verification,outlook.com,3
99,nhernandez@company-secure.com,Project Update,0,0,5,1,119,0,nhernandez company secure com,project update,company-secure.com,2
100,longterry@company-secure.com,Bank Account Locked,1,1,8,6,46,1,longterry company secure com,bank account locked,company-secure.com,3
101,neil49@outlook.com,Claim Your Reward Now,1,1,8,7,120,1,neil49 outlook com,claim your reward now,outlook.com,4
102,lramirez@company-secure.com,Claim Your Reward Now,0,1,10,6,24,1,lramirez company secure com,claim your reward now,company-secure.com,4
103,juliaowens@company-secure.com,Meeting Reminder,0,1,4,2,296,0,juliaowens company secure com,meeting reminder,company-secure.com,2
104,uhenderson@company-secure.com,Weekly Newsletter,1,0,2,2,100,0,uhenderson company secure com,weekly newsletter,company-secure.com,2
105,ojones@gmail.com,Weekly Newsletter,0,1,4,1,200,0,ojones gmail com,weekly newsletter,gmail.com,2
106,ayalamichael@company-secure.com,Weekly Newsletter,1,1,3,1,138,0,ayalamichael company secure com,weekly newsletter,company-secure.com,2
107,paul18@company-secure.com,Your Password Will Expire,1,1,8,6,82,1,paul18 company secure com,your password will expire,company-secure.com,4
108,craig00@company-secure.com,Interview Schedule,1,0,1,0,219,0,craig00 company secure com,interview schedule,company-secure.com,2
109,ugutierrez@company-secure.com,Bank Account Locked,1,0,7,4,54,1,ugutierrez company secure com,bank account locked,company-secure.com,3
110,lisa11@company-secure.com,Suspicious Login Attempt,1,0,9,4,113,1,lisa11 company secure com,suspicious login attempt,company-secure.com,3
111,gregoryowen@paypal-alert.com,Suspicious Login Attempt,0,0,8,5,81,1,gregoryowen paypal alert com,suspicious login attempt,paypal-alert.com,3
112,hansengene@company-secure.com,Urgent Account Verification,1,1,7,10,73,1,hansengene company secure com,urgent account verification,company-secure.com,3
113,lcain@bankverify.net,Weekly Newsletter,0,0,1,1,131,0,lcain bankverify net,weekly newsletter,bankverify.net,2
114,kjohnson@gmail.com,Invoice Attached,1,0,2,1,176,0,kjohnson gmail com,invoice attached,gmail.com,2
115,diana81@outlook.com,Project Update,1,0,4,1,115,0,diana81 outlook com,project update,outlook.com,2
116,snydermeagan@paypal-alert.com,Invoice Attached,1,0,1,0,189,0,snydermeagan paypal alert com,invoice attached,paypal-alert.com,2
117,gomezyvette@paypal-alert.com,Invoice Attached,1,1,1,1,247,0,gomezyvette paypal alert com,invoice attached,paypal-alert.com,2
118,torr@paypal-alert.com,Weekly Newsletter,0,0,1,0,140,0,torr paypal alert com,weekly newsletter,paypal-alert.com,2
119,kbrown@bankverify.net,Urgent Account Verification,1,1,9,7,92,1,kbrown bankverify net,urgent account verification,bankverify.net,3
120,valdezashley@gmail.com,Interview Schedule,0,0,5,0,127,0,valdezashley gmail com,interview schedule,gmail.com,2
121,ericmiller@paypal-alert.com,Suspicious Login Attempt,0,1,9,4,34,1,ericmiller paypal alert com,suspicious login attempt,paypal-alert.com,3
122,mendozaholly@gmail.com,Weekly Newsletter,1,0,2,1,89,0,mendozaholly gmail com,weekly newsletter,gmail.com,2
123,james72@paypal-alert.com,Invoice Attached,1,0,5,2,187,0,james72 paypal alert com,invoice attached,paypal-alert.com,2
124,olsonchristopher@paypal-alert.com,Urgent Account Verification,1,1,8,4,35,1,olsonchristopher paypal alert com,urgent account verification,paypal-alert.com,3
125,fostermichael@bankverify.net,Claim Your Reward Now,1,0,8,8,76,1,fostermichael bankverify net,claim your reward now,bankverify.net,4
126,joshuahammond@bankverify.net,Invoice Attached,1,1,5,1,229,0,joshuahammond bankverify net,invoice attached,bankverify.net,2
127,smithjulian@company-secure.com,Weekly Newsletter,1,0,2,1,274,0,smithjulian company secure com,weekly newsletter,company-secure.com,2
128,devin77@gmail.com,Your Password Will Expire,1,1,9,3,58,1,devin77 gmail com,your password will expire,gmail.com,4
129,yvettemelton@paypal-alert.com,Your Password Will Expire,1,1,7,7,101,1,yvettemelton paypal alert com,your password will expire,paypal-alert.com,4
130,traceymorse@company-secure.com,Project Update,0,1,2,0,90,0,traceymorse company secure com,project update,company-secure.com,2
131,khull@outlook.com,Claim Your Reward Now,1,1,8,5,37,1,khull outlook com,claim your reward now,outlook.com,4
132,cassandrabaker@outlook.com,Project Update,0,1,3,2,212,0,cassandrabaker outlook com,project update,outlook.com,2
133,gordondawn@paypal-alert.com,Project Update,1,0,3,1,150,0,gordondawn paypal alert com,project update,paypal-alert.com,2
134,webbtony@outlook.com,Suspicious Login Attempt,1,0,8,9,50,1,webbtony outlook com,suspicious login attempt,outlook.com,3
135,ncarlson@bankverify.net,Project Update,1,0,1,1,211,0,ncarlson bankverify net,project update,bankverify.net,2
136,andersondonald@bankverify.net,Project Update,1,0,3,0,148,0,andersondonald bankverify net,project update,bankverify.net,2
137,nicolesaunders@outlook.com,Suspicious Login Attempt,1,1,8,9,89,1,nicolesaunders outlook com,suspicious login attempt,outlook.com,3
138,nathanvelazquez@paypal-alert.com,Weekly Newsletter,0,0,2,1,154,0,nathanvelazquez paypal alert com,weekly newsletter,paypal-alert.com,2
139,gregory05@paypal-alert.com,Meeting Reminder,0,0,5,2,103,0,gregory05 paypal alert com,meeting reminder,paypal-alert.com,2
140,markkline@gmail.com,Weekly Newsletter,0,0,2,2,217,0,markkline gmail com,weekly newsletter,gmail.com,2
141,fbrown@company-secure.com,Interview Schedule,0,0,2,0,286,0,fbrown company secure com,interview schedule,company-secure.com,2
142,ashleyschultz@gmail.com,Invoice Attached,0,1,2,1,216,0,ashleyschultz gmail com,invoice attached,gmail.com,2
143,zglenn@bankverify.net,Invoice Attached,1,1,2,0,243,0,zglenn bankverify net,invoice attached,bankverify.net,2
144,blopez@paypal-alert.com,Urgent Account Verification,0,0,8,5,95,1,blopez paypal alert com,urgent account verification,paypal-alert.com,3
145,candacegill@gmail.com,Invoice Attached,0,0,4,2,185,0,candacegill gmail com,invoice attached,gmail.com,2
146,wrightjason@company-secure.com,Your Password Will Expire,1,0,9,6,37,1,wrightjason company secure com,your password will expire,company-secure.com,4
147,fduncan@company-secure.com,Claim Your Reward Now,1,0,8,9,21,1,fduncan company secure com,claim your reward now,company-secure.com,4
148,monicamiller@outlook.com,Meeting Reminder,1,0,2,2,212,0,monicamiller outlook com,meeting reminder,outlook.com,2
149,xvazquez@company-secure.com,Interview Schedule,1,1,3,2,159,0,xvazquez company secure com,interview schedule,company-secure.com,2
150,stephanie46@bankverify.net,Urgent Account Verification,0,1,7,10,96,1,stephanie46 bankverify net,urgent account verification,bankverify.net,3
151,jimmy17@outlook.com,Bank Account Locked,1,1,8,10,84,1,jimmy17 outlook com,bank account locked,outlook.com,3
152,eharper@outlook.com,Weekly Newsletter,0,0,1,1,239,0,eharper outlook com,weekly newsletter,outlook.com,2
153,greenchristopher@paypal-alert.com,Weekly Newsletter,1,0,1,1,145,0,greenchristopher paypal alert com,weekly newsletter,paypal-alert.com,2
154,jacob54@company-secure.com,Meeting Reminder,0,0,5,1,86,0,jacob54 company secure com,meeting reminder,company-secure.com,2
155,megan18@company-secure.com,Suspicious Login Attempt,0,0,9,10,43,1,megan18 company secure com,suspicious login attempt,company-secure.com,3
156,mariahponce@outlook.com,Interview Schedule,1,1,2,0,166,0,mariahponce outlook com,interview schedule,outlook.com,2
157,david85@company-secure.com,Claim Your Reward Now,1,0,8,10,80,1,david85 company secure com,claim your reward now,company-secure.com,4
158,kelly75@bankverify.net,Interview Schedule,1,0,3,2,273,0,kelly75 bankverify net,interview schedule,bankverify.net,2
159,kimberlydouglas@gmail.com,Invoice Attached,0,0,4,0,88,0,kimberlydouglas gmail com,invoice attached,gmail.com,2
160,leslie98@paypal-alert.com,Meeting Reminder,1,0,4,2,251,0,leslie98 paypal alert com,meeting reminder,paypal-alert.com,2
161,danderson@gmail.com,Invoice Attached,1,1,2,2,262,0,danderson gmail com,invoice attached,gmail.com,2
162,mendozaaaron@bankverify.net,Claim Your Reward Now,1,1,8,8,101,1,mendozaaaron bankverify net,claim your reward now,bankverify.net,4
163,jennifer48@bankverify.net,Claim Your Reward Now,1,1,8,4,91,1,jennifer48 bankverify net,claim your reward now,bankverify.net,4
164,sanchezmichael@gmail.com,Suspicious Login Attempt,0,0,7,3,35,1,sanchezmichael gmail com,suspicious login attempt,gmail.com,3
165,paulahart@company-secure.com,Interview Schedule,1,1,3,1,257,0,paulahart company secure com,interview schedule,company-secure.com,2
166,cbrooks@paypal-alert.com,Invoice Attached,0,1,4,0,214,0,cbrooks paypal alert com,invoice attached,paypal-alert.com,2
167,clarkpamela@company-secure.com,Urgent Account Verification,0,0,9,6,54,1,clarkpamela company secure com,urgent account verification,company-secure.com,3
168,carrollchristopher@outlook.com,Urgent Account Verification,1,1,8,5,51,1,carrollchristopher outlook com,urgent account verification,outlook.com,3
169,jefferyjohnson@bankverify.net,Meeting Reminder,0,1,3,2,134,0,jefferyjohnson bankverify net,meeting reminder,bankverify.net,2
170,ibarradawn@gmail.com,Your Password Will Expire,1,0,9,10,29,1,ibarradawn gmail com,your password will expire,gmail.com,4
171,kevinnorman@paypal-alert.com,Invoice Attached,1,0,1,2,144,0,kevinnorman paypal alert com,invoice attached,paypal-alert.com,2
172,david94@outlook.com,Claim Your Reward Now,1,0,7,8,103,1,david94 outlook com,claim your reward now,outlook.com,4
173,jonathan44@paypal-alert.com,Project Update,1,1,1,1,145,0,jonathan44 paypal alert com,project update,paypal-alert.com,2
174,bcurtis@paypal-alert.com,Claim Your Reward Now,1,1,7,9,57,1,bcurtis paypal alert com,claim your reward now,paypal-alert.com,4
175,raymondwilliams@paypal-alert.com,Weekly Newsletter,1,1,2,1,194,0,raymondwilliams paypal alert com,weekly newsletter,paypal-alert.com,2
176,amy43@company-secure.com,Invoice Attached,1,0,4,0,184,0,amy43 company secure com,invoice attached,company-secure.com,2
177,ethan41@bankverify.net,Your Password Will Expire,1,0,9,8,45,1,ethan41 bankverify net,your password will expire,bankverify.net,4
178,phill@gmail.com,Meeting Reminder,1,1,1,0,115,0,phill gmail com,meeting reminder,gmail.com,2
179,youngjuan@bankverify.net,Bank Account Locked,0,1,8,9,59,1,youngjuan bankverify net,bank account locked,bankverify.net,3
180,whamilton@company-secure.com,Meeting Reminder,1,1,5,2,175,0,whamilton company secure com,meeting reminder,company-secure.com,2
181,david91@outlook.com,Invoice Attached,1,0,2,2,199,0,david91 outlook com,invoice attached,outlook.com,2
182,ryan06@bankverify.net,Interview Schedule,0,1,5,0,106,0,ryan06 bankverify net,interview schedule,bankverify.net,2
183,qkrueger@outlook.com,Meeting Reminder,1,1,1,2,296,0,qkrueger outlook com,meeting reminder,outlook.com,2
184,amandaperry@company-secure.com,Meeting Reminder,1,1,5,2,273,0,amandaperry company secure com,meeting reminder,company-secure.com,2
185,patriciamorrison@company-secure.com,Invoice Attached,0,0,5,0,154,0,patriciamorrison company secure com,invoice attached,company-secure.com,2
186,jermainehamilton@bankverify.net,Bank Account Locked,1,0,10,6,30,1,jermainehamilton bankverify net,bank account locked,bankverify.net,3
187,christopher73@outlook.com,Suspicious Login Attempt,1,0,9,10,48,1,christopher73 outlook com,suspicious login attempt,outlook.com,3
188,adkinspamela@paypal-alert.com,Bank Account Locked,1,0,10,7,73,1,adkinspamela paypal alert com,bank account locked,paypal-alert.com,3
189,briancole@company-secure.com,Project Update,0,0,1,1,147,0,briancole company secure com,project update,company-secure.com,2
190,alicesantiago@company-secure.com,Project Update,0,0,5,1,189,0,alicesantiago company secure com,project update,company-secure.com,2
191,rileyshirley@company-secure.com,Project Update,1,0,2,0,102,0,rileyshirley company secure com,project update,company-secure.com,2
192,mwilliams@gmail.com,Bank Account Locked,0,1,10,9,115,1,mwilliams gmail com,bank account locked,gmail.com,3
193,andersonwillie@outlook.com,Your Password Will Expire,1,1,7,10,41,1,andersonwillie outlook com,your password will expire,outlook.com,4
194,alexanderthompson@gmail.com,Meeting Reminder,0,1,2,1,123,0,alexanderthompson gmail com,meeting reminder,gmail.com,2
195,chambersalex@company-secure.com,Bank Account Locked,0,1,10,6,70,1,chambersalex company secure com,bank account locked,company-secure.com,3
196,john15@outlook.com,Interview Schedule,0,0,2,1,192,0,john15 outlook com,interview schedule,outlook.com,2
197,asalas@outlook.com,Bank Account Locked,0,0,10,3,57,1,asalas outlook com,bank account locked,outlook.com,3
198,walter02@gmail.com,Claim Your Reward Now,1,0,10,6,90,1,walter02 gmail com,claim your reward now,gmail.com,4
199,zvasquez@gmail.com,Bank Account Locked,1,1,9,5,25,1,zvasquez gmail com,bank account locked,gmail.com,3
200,nsmith@bankverify.net,Invoice Attached,0,1,4,0,188,0,nsmith bankverify net,invoice attached,bankverify.net,2
201,hscott@paypal-alert.com,Suspicious Login Attempt,1,1,10,6,97,1,hscott paypal alert com,suspicious login attempt,paypal-alert.com,3
202,johnsonbrent@bankverify.net,Your Password Will Expire,1,1,7,9,119,1,johnsonbrent bankverify net,your password will expire,bankverify.net,4
203,josephpoole@company-secure.com,Weekly Newsletter,0,1,3,1,234,0,josephpoole company secure com,weekly newsletter,company-secure.com,2
204,jeremycaldwell@company-secure.com,Claim Your Reward Now,1,1,8,9,64,1,jeremycaldwell company secure com,claim your reward now,company-secure.com,4
205,hallabigail@company-secure.com,Urgent Account Verification,0,1,7,3,40,1,hallabigail company secure com,urgent account verification,company-secure.com,3
206,khoward@outlook.com,Claim Your Reward Now,1,1,8,5,85,1,khoward outlook com,claim your reward now,outlook.com,4
207,pjackson@gmail.com,Interview Schedule,1,1,3,2,205,0,pjackson gmail com,interview schedule,gmail.com,2
208,thomasricky@outlook.com,Bank Account Locked,1,0,7,8,25,1,thomasricky outlook com,bank account locked,outlook.com,3
209,margaretallen@company-secure.com,Interview Schedule,0,1,3,1,101,0,margaretallen company secure com,interview schedule,company-secure.com,2
210,clairebrown@paypal-alert.com,Invoice Attached,0,1,4,0,187,0,clairebrown paypal alert com,invoice attached,paypal-alert.com,2
211,nicolelivingston@company-secure.com,Project Update,0,1,2,1,85,0,nicolelivingston company secure com,project update,company-secure.com,2
212,qbaker@gmail.com,Claim Your Reward Now,0,1,9,3,60,1,qbaker gmail com,claim your reward now,gmail.com,4
213,qschmidt@gmail.com,Suspicious Login Attempt,1,0,7,6,30,1,qschmidt gmail com,suspicious login attempt,gmail.com,3
214,james47@outlook.com,Invoice Attached,1,0,3,2,280,0,james47 outlook com,invoice attached,outlook.com,2
215,qleon@company-secure.com,Claim Your Reward Now,1,0,8,5,51,1,qleon company secure com,claim your reward now,company-secure.com,4
216,jpugh@paypal-alert.com,Project Update,1,1,4,0,161,0,jpugh paypal alert com,project update,paypal-alert.com,2
217,thenderson@outlook.com,Urgent Account Verification,1,0,7,7,71,1,thenderson outlook com,urgent account verification,outlook.com,3
218,nicholasmueller@company-secure.com,Interview Schedule,0,1,3,2,81,0,nicholasmueller company secure com,interview schedule,company-secure.com,2
219,jill57@bankverify.net,Bank Account Locked,1,1,7,3,71,1,jill57 bankverify net,bank account locked,bankverify.net,3
220,denisedavis@bankverify.net,Urgent Account Verification,1,1,10,7,118,1,denisedavis bankverify net,urgent account verification,bankverify.net,3
221,gsmith@paypal-alert.com,Suspicious Login Attempt,1,1,10,5,79,1,gsmith paypal alert com,suspicious login attempt,paypal-alert.com,3
222,bbest@gmail.com,Claim Your Reward Now,0,0,10,7,57,1,bbest gmail com,claim your reward now,gmail.com,4
